,cut_number,y,x
0,0,2104,3100
1,0,2104,3101
2,0,2104,3102
3,0,2104,3103
4,0,2104,3104
5,0,2104,3105
6,0,2104,3106
7,0,2104,3107
8,0,2105,3100
9,0,2105,3101
10,0,2105,3102
11,0,2105,3103
12,0,2105,3104
13,0,2105,3105
14,0,2105,3106
15,0,2105,3107
16,0,2106,3098
17,0,2106,3099
18,0,2106,3100
19,0,2106,3101
20,0,2106,3102
21,0,2106,3103
22,0,2106,3104
23,0,2106,3105
24,0,2106,3106
25,0,2106,3107
26,0,2106,3108
27,0,2106,3109
28,0,2107,3098
29,0,2107,3099
30,0,2107,3100
31,0,2107,3101
32,0,2107,3102
33,0,2107,3103
34,0,2107,3104
35,0,2107,3105
36,0,2107,3106
37,0,2107,3107
38,0,2107,3108
39,0,2107,3109
40,0,2108,3096
41,0,2108,3097
42,0,2108,3098
43,0,2108,3099
44,0,2108,3100
45,0,2108,3101
46,0,2108,3102
47,0,2108,3103
48,0,2108,3104
49,0,2108,3105
50,0,2108,3106
51,0,2108,3107
52,0,2108,3108
53,0,2108,3109
54,0,2108,3110
55,0,2108,3111
56,0,2109,3096
57,0,2109,3097
58,0,2109,3098
59,0,2109,3099
60,0,2109,3100
61,0,2109,3101
62,0,2109,3102
63,0,2109,3103
64,0,2109,3104
65,0,2109,3105
66,0,2109,3106
67,0,2109,3107
68,0,2109,3108
69,0,2109,3109
70,0,2109,3110
71,0,2109,3111
72,0,2110,3096
73,0,2110,3097
74,0,2110,3098
75,0,2110,3099
76,0,2110,3100
77,0,2110,3101
78,0,2110,3102
79,0,2110,3103
80,0,2110,3104
81,0,2110,3105
82,0,2110,3106
83,0,2110,3107
84,0,2110,3108
85,0,2110,3109
86,0,2110,3110
87,0,2110,3111
88,0,2111,3096
89,0,2111,3097
90,0,2111,3098
91,0,2111,3099
92,0,2111,3100
93,0,2111,3101
94,0,2111,3102
95,0,2111,3103
96,0,2111,3104
97,0,2111,3105
98,0,2111,3106
99,0,2111,3107
100,0,2111,3108
101,0,2111,3109
102,0,2111,3110
103,0,2111,3111
104,0,2112,3096
105,0,2112,3097
106,0,2112,3098
107,0,2112,3099
108,0,2112,3100
109,0,2112,3101
110,0,2112,3102
111,0,2112,3103
112,0,2112,3104
113,0,2112,3105
114,0,2112,3106
115,0,2112,3107
116,0,2112,3108
117,0,2112,3109
118,0,2112,3110
119,0,2112,3111
120,0,2113,3096
121,0,2113,3097
122,0,2113,3098
123,0,2113,3099
124,0,2113,3100
125,0,2113,3101
126,0,2113,3102
127,0,2113,3103
128,0,2113,3104
129,0,2113,3105
130,0,2113,3106
131,0,2113,3107
132,0,2113,3108
133,0,2113,3109
134,0,2113,3110
135,0,2113,3111
136,0,2114,3096
137,0,2114,3097
138,0,2114,3098
139,0,2114,3099
140,0,2114,3100
141,0,2114,3101
142,0,2114,3102
143,0,2114,3103
144,0,2114,3104
145,0,2114,3105
146,0,2114,3106
147,0,2114,3107
148,0,2114,3108
149,0,2114,3109
150,0,2114,3110
151,0,2114,3111
152,0,2115,3096
153,0,2115,3097
154,0,2115,3098
155,0,2115,3099
156,0,2115,3100
157,0,2115,3101
158,0,2115,3102
159,0,2115,3103
160,0,2115,3104
161,0,2115,3105
162,0,2115,3106
163,0,2115,3107
164,0,2115,3108
165,0,2115,3109
166,0,2115,3110
167,0,2115,3111
168,0,2116,3098
169,0,2116,3099
170,0,2116,3100
171,0,2116,3101
172,0,2116,3102
173,0,2116,3103
174,0,2116,3104
175,0,2116,3105
176,0,2116,3106
177,0,2116,3107
178,0,2116,3108
179,0,2116,3109
180,0,2116,3110
181,0,2116,3111
182,0,2117,3098
183,0,2117,3099
184,0,2117,3100
185,0,2117,3101
186,0,2117,3102
187,0,2117,3103
188,0,2117,3104
189,0,2117,3105
190,0,2117,3106
191,0,2117,3107
192,0,2117,3108
193,0,2117,3109
194,0,2117,3110
195,0,2117,3111
196,0,2118,3100
197,0,2118,3101
198,0,2118,3102
199,0,2118,3103
200,0,2118,3104
201,0,2118,3105
202,0,2118,3106
203,0,2118,3107
204,0,2118,3108
205,0,2118,3109
206,0,2118,3110
207,0,2118,3111
208,0,2119,3100
209,0,2119,3101
210,0,2119,3102
211,0,2119,3103
212,0,2119,3104
213,0,2119,3105
214,0,2119,3106
215,0,2119,3107
216,0,2119,3108
217,0,2119,3109
218,0,2119,3110
219,0,2119,3111
220,1,1462,3484
221,1,1462,3485
222,1,1462,3486
223,1,1462,3487
224,1,1463,3484
225,1,1463,3485
226,1,1463,3486
227,1,1463,3487
228,1,1464,3484
229,1,1464,3485
230,1,1464,3486
231,1,1464,3487
232,1,1465,3484
233,1,1465,3485
234,1,1465,3486
235,1,1465,3487
236,2,1232,1914
237,2,1232,1915
238,2,1232,1916
239,2,1232,1917
240,2,1232,1918
241,2,1232,1919
242,2,1232,1920
243,2,1232,1921
244,2,1233,1914
245,2,1233,1915
246,2,1233,1916
247,2,1233,1917
248,2,1233,1918
249,2,1233,1919
250,2,1233,1920
251,2,1233,1921
252,2,1234,1912
253,2,1234,1913
254,2,1234,1914
255,2,1234,1915
256,2,1234,1916
257,2,1234,1917
258,2,1234,1918
259,2,1234,1919
260,2,1234,1920
261,2,1234,1921
262,2,1234,1922
263,2,1234,1923
264,2,1234,1924
265,2,1234,1925
266,2,1235,1912
267,2,1235,1913
268,2,1235,1914
269,2,1235,1915
270,2,1235,1916
271,2,1235,1917
272,2,1235,1918
273,2,1235,1919
274,2,1235,1920
275,2,1235,1921
276,2,1235,1922
277,2,1235,1923
278,2,1235,1924
279,2,1235,1925
280,2,1236,1910
281,2,1236,1911
282,2,1236,1912
283,2,1236,1913
284,2,1236,1914
285,2,1236,1915
286,2,1236,1916
287,2,1236,1917
288,2,1236,1918
289,2,1236,1919
290,2,1236,1920
291,2,1236,1921
292,2,1236,1922
293,2,1236,1923
294,2,1236,1924
295,2,1236,1925
296,2,1237,1910
297,2,1237,1911
298,2,1237,1912
299,2,1237,1913
300,2,1237,1914
301,2,1237,1915
302,2,1237,1916
303,2,1237,1917
304,2,1237,1918
305,2,1237,1919
306,2,1237,1920
307,2,1237,1921
308,2,1237,1922
309,2,1237,1923
310,2,1237,1924
311,2,1237,1925
312,2,1238,1910
313,2,1238,1911
314,2,1238,1912
315,2,1238,1913
316,2,1238,1914
317,2,1238,1915
318,2,1238,1916
319,2,1238,1917
320,2,1238,1918
321,2,1238,1919
322,2,1238,1920
323,2,1238,1921
324,2,1238,1922
325,2,1238,1923
326,2,1238,1924
327,2,1238,1925
328,2,1238,1926
329,2,1238,1927
330,2,1239,1910
331,2,1239,1911
332,2,1239,1912
333,2,1239,1913
334,2,1239,1914
335,2,1239,1915
336,2,1239,1916
337,2,1239,1917
338,2,1239,1918
339,2,1239,1919
340,2,1239,1920
341,2,1239,1921
342,2,1239,1922
343,2,1239,1923
344,2,1239,1924
345,2,1239,1925
346,2,1239,1926
347,2,1239,1927
348,2,1240,1910
349,2,1240,1911
350,2,1240,1912
351,2,1240,1913
352,2,1240,1914
353,2,1240,1915
354,2,1240,1916
355,2,1240,1917
356,2,1240,1918
357,2,1240,1919
358,2,1240,1920
359,2,1240,1921
360,2,1240,1922
361,2,1240,1923
362,2,1240,1924
363,2,1240,1925
364,2,1240,1926
365,2,1240,1927
366,2,1241,1910
367,2,1241,1911
368,2,1241,1912
369,2,1241,1913
370,2,1241,1914
371,2,1241,1915
372,2,1241,1916
373,2,1241,1917
374,2,1241,1918
375,2,1241,1919
376,2,1241,1920
377,2,1241,1921
378,2,1241,1922
379,2,1241,1923
380,2,1241,1924
381,2,1241,1925
382,2,1241,1926
383,2,1241,1927
384,2,1242,1910
385,2,1242,1911
386,2,1242,1912
387,2,1242,1913
388,2,1242,1914
389,2,1242,1915
390,2,1242,1916
391,2,1242,1917
392,2,1242,1918
393,2,1242,1919
394,2,1242,1920
395,2,1242,1921
396,2,1242,1922
397,2,1242,1923
398,2,1242,1924
399,2,1242,1925
400,2,1242,1926
401,2,1242,1927
402,2,1243,1910
403,2,1243,1911
404,2,1243,1912
405,2,1243,1913
406,2,1243,1914
407,2,1243,1915
408,2,1243,1916
409,2,1243,1917
410,2,1243,1918
411,2,1243,1919
412,2,1243,1920
413,2,1243,1921
414,2,1243,1922
415,2,1243,1923
416,2,1243,1924
417,2,1243,1925
418,2,1243,1926
419,2,1243,1927
420,2,1244,1910
421,2,1244,1911
422,2,1244,1912
423,2,1244,1913
424,2,1244,1914
425,2,1244,1915
426,2,1244,1916
427,2,1244,1917
428,2,1244,1918
429,2,1244,1919
430,2,1244,1920
431,2,1244,1921
432,2,1244,1922
433,2,1244,1923
434,2,1244,1924
435,2,1244,1925
436,2,1245,1910
437,2,1245,1911
438,2,1245,1912
439,2,1245,1913
440,2,1245,1914
441,2,1245,1915
442,2,1245,1916
443,2,1245,1917
444,2,1245,1918
445,2,1245,1919
446,2,1245,1920
447,2,1245,1921
448,2,1245,1922
449,2,1245,1923
450,2,1245,1924
451,2,1245,1925
452,2,1246,1914
453,2,1246,1915
454,2,1246,1916
455,2,1246,1917
456,2,1246,1918
457,2,1246,1919
458,2,1246,1920
459,2,1246,1921
460,2,1246,1922
461,2,1246,1923
462,2,1246,1924
463,2,1246,1925
464,2,1247,1914
465,2,1247,1915
466,2,1247,1916
467,2,1247,1917
468,2,1247,1918
469,2,1247,1919
470,2,1247,1920
471,2,1247,1921
472,2,1247,1922
473,2,1247,1923
474,2,1247,1924
475,2,1247,1925
476,3,342,1166
477,3,342,1167
478,3,342,1168
479,3,342,1169
480,3,343,1166
481,3,343,1167
482,3,343,1168
483,3,343,1169
484,3,344,1164
485,3,344,1165
486,3,344,1166
487,3,344,1167
488,3,344,1168
489,3,344,1169
490,3,344,1170
491,3,344,1171
492,3,345,1164
493,3,345,1165
494,3,345,1166
495,3,345,1167
496,3,345,1168
497,3,345,1169
498,3,345,1170
499,3,345,1171
500,3,346,1164
501,3,346,1165
502,3,346,1166
503,3,346,1167
504,3,346,1168
505,3,346,1169
506,3,346,1170
507,3,346,1171
508,3,347,1164
509,3,347,1165
510,3,347,1166
511,3,347,1167
512,3,347,1168
513,3,347,1169
514,3,347,1170
515,3,347,1171
516,3,348,1164
517,3,348,1165
518,3,348,1166
519,3,348,1167
520,3,348,1168
521,3,348,1169
522,3,348,1170
523,3,348,1171
524,3,349,1164
525,3,349,1165
526,3,349,1166
527,3,349,1167
528,3,349,1168
529,3,349,1169
530,3,349,1170
531,3,349,1171
532,4,320,766
533,4,320,767
534,4,320,768
535,4,320,769
536,4,320,770
537,4,320,771
538,4,321,766
539,4,321,767
540,4,321,768
541,4,321,769
542,4,321,770
543,4,321,771
544,4,322,766
545,4,322,767
546,4,322,768
547,4,322,769
548,4,322,770
549,4,322,771
550,4,322,772
551,4,322,773
552,4,323,766
553,4,323,767
554,4,323,768
555,4,323,769
556,4,323,770
557,4,323,771
558,4,323,772
559,4,323,773
560,4,324,766
561,4,324,767
562,4,324,768
563,4,324,769
564,4,324,770
565,4,324,771
566,4,324,772
567,4,324,773
568,4,325,766
569,4,325,767
570,4,325,768
571,4,325,769
572,4,325,770
573,4,325,771
574,4,325,772
575,4,325,773
576,5,2106,3100
577,5,2106,3101
578,5,2106,3102
579,5,2106,3103
580,5,2106,3104
581,5,2106,3105
582,5,2106,3106
583,5,2106,3107
584,5,2107,3100
585,5,2107,3101
586,5,2107,3102
587,5,2107,3103
588,5,2107,3104
589,5,2107,3105
590,5,2107,3106
591,5,2107,3107
592,5,2108,3098
593,5,2108,3099
594,5,2108,3100
595,5,2108,3101
596,5,2108,3102
597,5,2108,3103
598,5,2108,3104
599,5,2108,3105
600,5,2108,3106
601,5,2108,3107
602,5,2108,3108
603,5,2108,3109
604,5,2109,3098
605,5,2109,3099
606,5,2109,3100
607,5,2109,3101
608,5,2109,3102
609,5,2109,3103
610,5,2109,3104
611,5,2109,3105
612,5,2109,3106
613,5,2109,3107
614,5,2109,3108
615,5,2109,3109
616,5,2110,3098
617,5,2110,3099
618,5,2110,3100
619,5,2110,3101
620,5,2110,3102
621,5,2110,3103
622,5,2110,3104
623,5,2110,3105
624,5,2110,3106
625,5,2110,3107
626,5,2110,3108
627,5,2110,3109
628,5,2111,3098
629,5,2111,3099
630,5,2111,3100
631,5,2111,3101
632,5,2111,3102
633,5,2111,3103
634,5,2111,3104
635,5,2111,3105
636,5,2111,3106
637,5,2111,3107
638,5,2111,3108
639,5,2111,3109
640,5,2112,3098
641,5,2112,3099
642,5,2112,3100
643,5,2112,3101
644,5,2112,3102
645,5,2112,3103
646,5,2112,3104
647,5,2112,3105
648,5,2112,3106
649,5,2112,3107
650,5,2112,3108
651,5,2112,3109
652,5,2113,3098
653,5,2113,3099
654,5,2113,3100
655,5,2113,3101
656,5,2113,3102
657,5,2113,3103
658,5,2113,3104
659,5,2113,3105
660,5,2113,3106
661,5,2113,3107
662,5,2113,3108
663,5,2113,3109
664,5,2114,3098
665,5,2114,3099
666,5,2114,3100
667,5,2114,3101
668,5,2114,3102
669,5,2114,3103
670,5,2114,3104
671,5,2114,3105
672,5,2114,3106
673,5,2114,3107
674,5,2114,3108
675,5,2114,3109
676,5,2115,3098
677,5,2115,3099
678,5,2115,3100
679,5,2115,3101
680,5,2115,3102
681,5,2115,3103
682,5,2115,3104
683,5,2115,3105
684,5,2115,3106
685,5,2115,3107
686,5,2115,3108
687,5,2115,3109
688,5,2116,3098
689,5,2116,3099
690,5,2116,3100
691,5,2116,3101
692,5,2116,3102
693,5,2116,3103
694,5,2116,3104
695,5,2116,3105
696,5,2116,3106
697,5,2116,3107
698,5,2116,3108
699,5,2116,3109
700,5,2117,3098
701,5,2117,3099
702,5,2117,3100
703,5,2117,3101
704,5,2117,3102
705,5,2117,3103
706,5,2117,3104
707,5,2117,3105
708,5,2117,3106
709,5,2117,3107
710,5,2117,3108
711,5,2117,3109
712,5,2118,3100
713,5,2118,3101
714,5,2118,3102
715,5,2118,3103
716,5,2118,3104
717,5,2118,3105
718,5,2118,3106
719,5,2118,3107
720,5,2119,3100
721,5,2119,3101
722,5,2119,3102
723,5,2119,3103
724,5,2119,3104
725,5,2119,3105
726,5,2119,3106
727,5,2119,3107
728,6,1792,272
729,6,1792,273
730,6,1792,274
731,6,1792,275
732,6,1793,272
733,6,1793,273
734,6,1793,274
735,6,1793,275
736,7,1496,1508
737,7,1496,1509
738,7,1496,1510
739,7,1496,1511
740,7,1496,1512
741,7,1496,1513
742,7,1497,1508
743,7,1497,1509
744,7,1497,1510
745,7,1497,1511
746,7,1497,1512
747,7,1497,1513
748,7,1498,1506
749,7,1498,1507
750,7,1498,1508
751,7,1498,1509
752,7,1498,1510
753,7,1498,1511
754,7,1498,1512
755,7,1498,1513
756,7,1499,1506
757,7,1499,1507
758,7,1499,1508
759,7,1499,1509
760,7,1499,1510
761,7,1499,1511
762,7,1499,1512
763,7,1499,1513
764,7,1500,1506
765,7,1500,1507
766,7,1500,1508
767,7,1500,1509
768,7,1500,1510
769,7,1500,1511
770,7,1500,1512
771,7,1500,1513
772,7,1501,1506
773,7,1501,1507
774,7,1501,1508
775,7,1501,1509
776,7,1501,1510
777,7,1501,1511
778,7,1501,1512
779,7,1501,1513
780,7,1502,1510
781,7,1502,1511
782,7,1502,1512
783,7,1502,1513
784,7,1503,1510
785,7,1503,1511
786,7,1503,1512
787,7,1503,1513
788,8,1232,1914
789,8,1232,1915
790,8,1232,1916
791,8,1232,1917
792,8,1232,1918
793,8,1232,1919
794,8,1233,1914
795,8,1233,1915
796,8,1233,1916
797,8,1233,1917
798,8,1233,1918
799,8,1233,1919
800,8,1234,1910
801,8,1234,1911
802,8,1234,1912
803,8,1234,1913
804,8,1234,1914
805,8,1234,1915
806,8,1234,1916
807,8,1234,1917
808,8,1234,1918
809,8,1234,1919
810,8,1234,1920
811,8,1234,1921
812,8,1234,1922
813,8,1234,1923
814,8,1235,1910
815,8,1235,1911
816,8,1235,1912
817,8,1235,1913
818,8,1235,1914
819,8,1235,1915
820,8,1235,1916
821,8,1235,1917
822,8,1235,1918
823,8,1235,1919
824,8,1235,1920
825,8,1235,1921
